CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7707389;S;7890541428516;UN;SAND HAVAIANA FLAT MIX BGE/PLH/MARA 35/6
7707447;S;7890541017284;UN;SAND HAVAIANA SLIM ANIMALS MARFIM 37/8
7707448;S;7890541185242;UN;SAND HAVAIANA KIDS SLIM AZUL 37/38
7707462;S;7890541036957;UN;SAND HAVAIANA SLIM OCEANO 33/4
7707464;S;7890541036964;UN;SAND HAVAIANA SLIM OCEANO 35/6
7707470;S;7890541017260;UN;SAND HAVAIANA SLIM ANIMALS MARF 33/34
7707484;S;7891224659227;UN;SAND HAVAIANA SLIM ROYAL VDR PAT 35/6
7707485;S;7891224659234;UN;SAND HAVAIANA SLIM ROYAL VDR PAT 37/8
7707490;S;7891224956753;UN;SAND HAVAIANA SURF BGE PLH PTO LJA 37/38
7707526;S;7891224880294;UN;SAND HAVAIANA URBAN BASIC CZA/VIN43/44
7707527;S;7891224880300;UN;SAND HAVAIANA URBAN BASIC CZA/VI 39/40
7707547;S;7896029010099;UN;RACAO PEDIGREE ESSENCIAL 10,1 KG
7707582;S;7898961645018;UN;PAO DE ALHO PORO SEGREDO MINEIRO 330GR
7707583;S;7898994012979;UN;PAO DE ALHO SEGREDO MINEIRO TRADIC 330GR
7707588;S;7896716304760;UN;KIT FEIJOADA PAMPLONA 600G
7707600;S;7892840800406;UN;REFRIGERANTE PEPSI 1L
7707605;S;7891150054523;UN;CREME PENTEAR SEDA BOOM TRANSICAO 295ML
7707606;S;7891150059016;UN;CREME PENTEAR TRESEMME CACHOS 400ML
7707620;S;7898933762644;UN;BRINQ KIT MEDICO INFANTIL UN
7707645;S;7898966973147;UN;SNO TORRESMO SARANDI 130G
7707647;S;7898330160425;UN;PAO TCHE FORMA ZERO 450G
7707648;S;7891025110064;UN;IOG DANONE GREGO FRUTAS VERMELHAS 600GR
7707649;S;7898049154937;UN;PXE JAPESCA CORVINA 400GR
7707665;S;7891097000881;UN;SOBREMESA BATAVO PUDIM LEITE COND 200GR
7707670;S;7896000929259;UN;SALSICHA MINU PANCHO 17CM 350GR
7707770;S;7891027230067;UN;CADERNO TILIBRA CD LUNIX 80FLS 1MT
7707771;S;7891027230098;UN;CADERNO TILIBRA CD LUNIX 160FLS 10MTS
7707783;S;7891027127961;UN;CADERNO TILIBRA CD D+ 200FLS 10MTS
7707785;S;7891027139285;UN;CADERNO TILIBRA CD D+ FEM 200FL 10MT
7707793;S;7896084900038;UN;REPELENTE NO INSET SPRAY 100ML
7707798;S;6920354822223;UN;CREME DENTAL COLGATE EXT NATUR DETOX 90G
7707799;S;7896098901328;UN;LAVA ROUPA LIQ YPE LV3LPAGUE 2,7L
7707800;S;7891024040614;UN;CREME DENTAL SORRISO FH HORT EX90G3PACK
7707804;S;7896329300333;UN;POLENTA PALITO DELLA NONNA CONG 500GR
7707808;S;7891000243527;UN;CHOCOLATE NESTLE ALPINO BLACK 85GR
7707809;S;7891000276433;UN;CHOCOLATE NESTLE ALPINO NEVADO 85G
7707813;S;7893218003597;UN;VODKA ICE SMIRNOFF 275ML PACK C/6
7707814;S;7898595670035;UN;AGUA SANITARIA MAPLE 2LT
7707815;S;7898959265099;UN;ALVEJANTE MAPLE SCLORO 2LT
7707816;S;7898595671117;UN;AMACIANTE MAPLE CLASSIC 2L
7707817;S;7898595671209;UN;AMACIANTE MAPLE LOVE 2LT
7707818;S;7898959265624;UN;DESINFETANTE MAPLE PINHO 5LT
7707819;S;7898959265228;UN;DESINFETANTE MAPLE LAVANDA 5LT
7707820;S;7898595671032;UN;DESINFETANTE MAPLE PINHO 500ML
7707821;S;7898595671018;UN;DESINFETANTE MAPLE LAVANDA 500ML
7707822;S;7898595671247;UN;DESINFETANTE MAPLE MARINE 500ML
7707832;S;7898595671254;UN;DESINFETANTE MAPLE MARINE 2L
7707837;S;7891150060333;UN;SABONETE LIQ DOVE AGUA MICELAR 200ML
7707838;S;7891150053786;UN;SABONETE LIQ REXONA ANTIB FRESH 200ML
7707851;S;0070330144149;UN;CANETA BIC CRISTAL C/4 AZ/VM/PT/VD UN
7707853;S;0070330515390;UN;COLA BASTAO BIC STICK 8G
7707855;S;0070330423473;UN;LAPIS BIC EVOLUTION C BORRACHA C4 UN
7707856;S;0070330423534;UN;LAPIS BIC EVOLUTION C/3 UN
7707869;S;7891010247089;UN;PROTETOR SOLAR SUNDOWN FPS 50 200Ml
7707870;S;7898060745497;UN;FRUTI CEREJA IMPORTADA BDJ 250G
7707871;S;7896108560323;UN;PROT SOLAR CENOURA&BRONZE FPS30 200ML
7707879;S;7891025115304;UN;IOG DANONE YOPRO BANANA/PASTA AMEND 160G
7707881;S;7891025115335;UN;IOG DANONE YOPRO COCO CREMOSO 160G
7707888;S;7898640212272;UN;TACA GLASSRAL DIVERTIDA 300ML
7707896;S;7894900552508;UN;SUCO DELVALLE FRUT PESSEGO PET 1L
7707897;S;7896943226620;UN;KIT DE COZINHA 2 PECAS UN
7707902;S;7896267774609;UN;SUCO INTEGRAL PANIZZON MACA 1,5L
7707928;S;7898186434039;UN;BOLO SUPERPAN CENOURA 300G
7707934;S;7891150063204;UN;DESOD REXONA NOW UNITED AERO 90GR
7707938;S;7894900094022;UN;REFRIGERANTE FANTA GUARANA ZERO 2LT
7707949;S;7891150026773;UN;SORVETE KIBON CREMOSISSIMO CHICABON1,5L
7707956;S;7894900558524;UN;SUCO DELVALLE FRUT LIMAO PET 1,5L
7707962;S;7894900061512;UN;REFRIGERANTE SPRITE S/ACUCAR 2L
7707963;S;7894900060010;UN;REFRIGERANTE SPRITE S/ACUCAR LATA 350ML
7707974;S;7898920188242;UN;QUEIJO PRATO MANDAKA FATIADO 400G
7707981;S;7891330017355;UN;CHOCOLATE NEUGEBAUER MEIO AMARGO 90GR
7707983;S;7500435128445;UN;CONJ PANTENE SH COND HIDRO C 575ML
7707985;S;7622210976277;UN;OVO LACTA 15 LEITE 170G
7707997;S;7898142865662;UN;OVO ARCOR PRINCESAS AVENTUREIRAS 120G
7708009;S;7898324005176;UN;LAMPADA ECON OUROLUX SUPERLED 9W 6500K
7708010;S;7898324005138;UN;LAMPADA ECON OUROLUX SUPERLED 4,7W 6500K
7708011;S;7899771500825;UN;LAMPADA ECON OUROLUX SUPERLED 12W 6500K
7708012;S;7899771500139;UN;LAMPADA ECON OUROLUX 6W 6500K
7708013;S;7898324239786;UN;LAMPADA ECON OUROLUX  HALOGENA  70W
7708018;S;7897079052046;UN;LAMPADA ECON TASCHIBRA COMP 15W 6400K
7708019;S;7897079032055;UN;LAMPADA ECON TASCHIBRA 25W 6400K
7708020;S;7897079052701;UN;LAMPADA ECON TASCHIBRA 20W 6400K
7708023;S;7897079048278;UN;LAMPADA ECON TASCHIBRA ESP 15W 6400K UN
7708024;S;7897079048353;UN;LAMPADA ECON TASCHIBRA ESP 25W 6400K
7708026;S;7897079065541;UN;LAMPADA ECON TASCHIBRA LED 35W 4,9K UN
7708056;S;7891000265840;UN;OVO NESTLE PRESTIGIO 207GR
7708073;S;7891000276594;UN;CHOCOLATE NESTLE ALPINO EXTRA CREMOS 90G
7708103;S;7898024395416;UN;CHOCOLATE KINDER OVO MIRACULOUS 2UN
7708106;S;7898024397465;UN;OVO FERRERO ROCHER CAIXA 212g
7708113;S;7500435114479;UN;CARGA GILLETTE MACH 3 SENSETIVE LEV2P1
7708115;S;7891025115939;UN;IOG DANONE GREGO BLUEBERRY 90GR
7708116;S;7891025115953;UN;IOG DANONE GREGO FLOCOS 90GR
7708120;S;7891097001598;UN;LEITE FERMENTADO BATAVO GF 850GR
7708129;S;7893000012578;UN;TORTA SADIA PALMITO C/CATUPIRY 500GR
7708130;S;7896012101650;UN;SABONETE LIQ SENSUS LUXO ERVA DOCE 220ML
7708131;S;7896012104125;UN;SABONETE ANAFONT GLICERINA NEUTRO 120GR
7708132;S;7896012104132;UN;SABONETE ANAFONT GLICERINA FLORAL 120g
7708142;S;7896104993880;UN;ABSORV MILI C ABA LV16PG14UN
7708144;S;7500435106405;UN;CONDICIONADOR PANTENE 3MIN MILA LISO 170
7708152;S;7896873168175;UN;PXE KONDELLI FILE SALMAO CONG 250GR
7708153;S;7896873164528;KG;PXE KONDELLI FILE SALMAO PREM CONG 500GR
7708156;S;7506309889368;UN;AMPOLA PANTENE GOLD REST 15ML UN
7708164;S;7500435128940;UN;CONDICIONADOR PANTENE MICELAR 175ML
7708170;S;7500435128926;UN;SHAMPOO PANTENE MICELAR  200ML
7708175;S;7891991014809;UN;CERVEJA SERRAMALTE LATA 350ML
7708176;S;7891149104956;UN;CERVEJA BRAHMA ZERO LONG NECK355ML
7708196;S;7896466221553;UN;CHOCOLATE COBERT ROMA CONF BLEND 1,01KG
7708197;S;7896466221539;UN;CHOCOLATE COBERT ROMA CONF BRANCO 1,01KG
7708198;S;7896466221560;UN;CHOCOLATE COBERT ROMA CONF MEIO A 1,01KG
7708199;S;7896466221546;UN;CHOCOLATE COBERT ROMA CONF AO LTE 1,01KG
7708202;S;7896466203535;UN;OVO ROMA SONHO DE PASCOA AO LEITE 70g
7708203;S;7896466220372;UN;OVO ROMA GRUPIX AO LEITE 100g
7708204;S;7896466221492;UN;COELHO ROMA 40g
7708222;S;7894900681246;UN;REFRIGERANTE SPRITE 600ML
7708229;S;7896798602303;UN;BARRA NUTSBAR CASTANHAS E CHO 25G
7708230;S;7896798601535;UN;BARRA NUTSBAR CASTANHAS/COCO 25GR
7708231;S;7896798601900;UN;BARRA NUTSBAR CASTANHAS E FRUT25G
7708232;S;7896798601870;UN;BARRA NUTSBAR CASTAN E SEMENT 25G
7708247;S;7891097001062;UN;LEITE LV PARMALAT ZYMIL ZERO LAC SEMI 1L
7708254;S;7896943248691;UN;MANTA PANOSUL CASAL UN
7708259;S;7899516207507;UN;CHOCOLATE DIVINE ZERO AMARGO80CACAU100GR
7708260;S;7899516207552;UN;CHOCOLATE DIVINE ZERO MEIO AMARGO50 100G
7708261;S;7899516207521;UN;CHOCOLATE DIVINE ZERO 37% CACAU 100GR
7708262;S;7899516207439;UN;CHOCOLATE DIVINE ZERO BRANCO VEGANO 100G
7708265;S;7893000084315;UN;QUEIJO MUSSARELA SADIA 200G
7708269;S;7896045504831;UN;CERVEJA AMSTEL LATA 350ML
7708272;S;7898336970158;UN;VINHO TRADICAO BRANCO SUAVE 750ML
